identifiant,nom,localisation,contenu_co2,contenu_co2_acv,taux_enrr,annee_reference
5908C,RÉSEAU DE CHALEUR DE SIN LE NOBLE,SIN-LE-NOBLE,0.1,0.118,65.6,2024
5909C,RÉSEAU DE MONS-EN-BAROEUL,MONS-EN-BAROEUL,0.071,0.103,64.9,2024
5910C,RÉSEAU DE LILLE,LILLE,0.086,0.1,65.8,Moyenne
5911C,RÉSEAU DE LAMBERSART,LAMBERSART,0.132,0.164,62,2024
5912C,MAUBEUGE ENERGIE RENOUVELABLE,MAUBEUGE,0.051,0.061,79.9,2024
5913C,GÉOTHERMIE DES RIVES CRÉATIVES,ANZIN,0.18,0.083,23.2,Moyenne
5914C,ENERGIE GRAND LITTORAL - DUNKERQUE,DUNKERQUE,0.109,0.129,59.9,2024
5915C,RÉSEAU DE CHALEUR DE DOUCHY,DOUCHY-LES-MINES,0.057,0.073,75.9,Moyenne
5916C,RÉSEAU DE CHALEUR D'HAZEBROUCK,HAZEBROUCK,0.091,0.123,64.4,Moyenne
5917C,QUARTIER TOURNEBRIDE LOMME-CAPINGHEM,LILLE,0.107,0.133,57.4,Moyenne
5918C,RÉSEAU DE CHALEUR DE BAISIEUX,BAISIEUX,0.342,0.385,0,2024
5919C,RÉSEAU DU PARC ST MAUR,LILLE,0.241,0.239,0,2024
5920C,RÉSEAU ARSYEL,GRANDE-SYNTHE,0.05,0.063,85.8,Moyenne
5922C,RÉSEAU DE DENAIN,DENAIN,0.059,0.069,76.2,2024
5923C,RCU FOURMIES,FOURMIES,0,0.017,100,2024
5924C,RCU WORMHOUT,WORMHOUT,0.03,0.055,89.2,Moyenne
5925C,LYS LEZ LANNOY (59) - RESEAU LONGCHAMP,LYS LEZ LANNOY,0.2,0.252,0,2024
5926C,SECLIN (59) - RESEAU LA MOUCHONNIERE,SECLIN,0.119,0.146,53.1,2024
5927C,RONCHIN (59) - RESEAU CDS COMTESSE DE SEGUR,RONCHIN,0.229,0.254,0,2024
5928C,VILLENEUVE D'ASCQ (59) - RESEAU LA RESIDENCE,VILLENEUVE D'ASCQ,0.19,0.243,0.8,Moyenne
6001C,RÉSEAU DE COMPIÈGNE,COMPIEGNE,0.091,0.118,68.5,2024
6002C,LA CAVÉE ET LES HIRONVALLES,CREIL,0.105,0.131,56.7,2024
6003C,QUARTIER DES OBIERS,NOGENT-SUR-OISE,0.074,0.086,73.3,2024
6004C,LES MARTINETS,MONTATAIRE,0.029,0.038,88,2024
6005C,RÉSEAU DU QUARTIER SAINT JEAN,BEAUVAIS,0.017,0.04,93.8,Moyenne
6006C,RÉSEAU DE BRETEUIL-SUR-NOYE,BRETEUIL,0.023,0.049,92.2,Moyenne
6007C,VSPU VILLERS SAINT PAUL UTILITÉS,VILLERS-SAINT-PAUL,0.051,0.06,87.4,2024
6008C,RÉGIE MUNICIPALE,GRANDVILLIERS,0,0.004,100,2024
6101C,PERSEIGNE,ALENCON,0.042,0.065,83.2,Moyenne
6102C,QUARTIER SAINT SAUVEUR,FLERS,0.063,0.088,75.5,Moyenne
6103C,QUARTIER NORD - ROUTE DE LA FALAISE,ARGENTAN,0.099,0.125,59.6,2024
6104C,RÉSEAU DE LA FERTÉ MACE,LA FERTE-MACE,0.032,0.056,88.2,2024
6105C,RECBIA,L'AIGLE,0.019,0.042,93.2,2024
6109C,ALENCON ENERGIE BOIS,ALENCON,0.083,0.108,64.6,2024
6201C,ZUP DU QUARTIER RÉPUBLIQUE - AVION,AVION,0.204,0.258,0,2024
6202C,RÉSEAU DE ARQUES,ARQUES,0.066,0.094,78.6,2024
6203C,RÉSEAU DE CHALEUR DE LENS,LENS,0.021,0.045,91.6,Moyenne
6204C,RÉSEAU DE CHALEUR DE BÉTHUNE,BETHUNE,0.075,0.107,67.7,2024
6205C,LE PORTEL-OUTREAU,OUTREAU,0.172,0.194,0,2024
6206C,RÉSEAU DE CHALEUR DE LIÉVIN,LIEVIN,0.086,0.099,67.3,2024
6207C,RÉSEAU DE CALAIS,CALAIS,0.081,0.107,71.5,2024
6209C,RÉSEAU DE CHALEUR D'ACHICOURT,ACHICOURT,0.088,0.105,62.7,Moyenne
6210C,RÉSEAU DE CHALEUR D'ARRAS,ARRAS,0.093,0.118,62.1,2024
6211C,RÉSEAU DE CHALEUR DE BOULOGNE SUR MER,BOULOGNE-SUR-MER,0.145,0.169,41.2,2024
6212C,RÉSEAU DE CHALEUR LE PORTEL-OUTREAU,OUTREAU,0.176,0.208,40.5,2024
6213C,CHAUFFERIE BOIS D'ANVIN,ANVIN,0.228,0.264,33.3,Moyenne
6215C,RÉSEAU CVE FLAMOVAL,WARDRECQUES,0.114,0.131,66.7,2024
6301C,RÉSEAU DE RIOM RCBE,RIOM,0.022,0.046,92.1,Moyenne
6303C,HLM SAINT JACQUES,CLERMONT-FERRAND,0.266,0.248,0,2024
6305C,RÉSEAU DE ROCHEFORT-MONTAGNE,ROCHEFORT-MONTAGNE,0.015,0.048,97,2024
6306C,LA GAUTHIÈRE,CLERMONT-FERRAND,0.07,0.098,70.7,2024
6307C,RÉSEAU DE ROYAT,ROYAT,0.24,0.269,0,2024
6308C,CROIX-DE-NEYRAT / CHAMPRATEL / LES VERGNES,CLERMONT-FERRAND,0.041,0.063,83.8,2024
6309C,RÉSEAU DE CHALEUR BOIS DE PONTAUMUR,PONTAUMUR,0.033,0.064,92.5,2024
6310C,CORAL,AMBERT,0.114,0.144,66.7,Moyenne
6311C,RÉSEAU DE CHALEUR DE ST-GERMAIN-L'HERM,SAINT-GERMAIN-L'HERM,0.029,0.059,93,Moyenne
6312C,RÉSEAU DE CHALEUR DE ARDES-SUR-COUZE,ARDES,0,0.03,100,2024
6313C,RÉSEAU DE ST CLÉMENT DE RÉGNAT,SAINT-CLEMENT-DE-REGNAT,0.159,0.193,66.7,Moyenne
6314C,RÉSEAU DE CHALEUR DU BRUGERON,LE BRUGERON,0.114,0.146,66.7,2024
6315C,RÉSEAU DE CHALEUR D'ANZAT,ANZAT-LE-LUGUET,0,0.027,100,2024
6316C,RÉSEAU DE CHALEUR DU LUGUET,ANZAT-LE-LUGUET,0,0.025,100,2024
6317C,RÉSEAU DE CHALEUR SAINT-JACQUES,CLERMONT-FERRAND,0.056,0.066,79.9,2024
6318C,RÉSEAU DE CHALEUR D'ARLANC,ARLANC,0,0.026,100,2024
6319C,RÉSEAU D'ISSOIRE - ENERG'ISS,ISSOIRE,0.036,0.053,86.1,2024
6401C,RÉSEAU DE CHALEUR DU HAMEAU,PAU,0.026,0.049,89.6,Moyenne
6402C,EGURRETIK,BAYONNE,0.045,0.069,83.1,Moyenne
6403C,RCU DE PAU,PAU,0.051,0.063,80.8,2024
6404C,RÉSEAU CHEM'PÔLE 64,MOURENX,0,0.004,100,2024
6501C,RÉSEAU DE VIC-EN-BIGORRE,VIC-EN-BIGORRE,0.032,0.059,89.1,2024
6601C,RÉSEAU COMMUNAL DE BOLQUERE,BOLQUERE,0.228,0.264,33.3,Moyenne
6604C,RÉSEAU DE CHALEUR DE PERPIGNAN,PERPIGNAN,0.118,0.135,65.3,Moyenne
6702C,HAUTEPIERRE,STRASBOURG,0.238,0.268,0,2024
6703C,STRASBOURG CENTRE ENERGIES,STRASBOURG,0.076,0.096,72,2024
6704C,ECO-QUARTIER BRASSERIE CRONENBOURG,STRASBOURG,0.06,0.031,69.1,Moyenne
6705C,RÉSEAU DE HOCHFELDEN,STRASBOURG,0.159,0.166,14.9,Moyenne
6708C,CITÉ DE L'ILL,STRASBOURG,0.057,0.079,75.1,Moyenne
6709C,LE RIED,SCHILTIGHEIM,0.228,0.292,0,2024
6710C,HAGUENAU,HAGUENAU,0.036,0.057,82.7,2024
6711C,RÉSEAU DE LA COMMUNAUTÉ DE COMMUNES SAUER-PECHELBR,MORSBRONN-LES-BAINS,0.104,0.133,61.9,Moyenne
6712C,CHAUFFERIE,SAALES,0,0.02,100,2024
6713C,RÉSEAU DES TANNERIES - BOHRIE - WIHREL,LINGOLSHEIM,0.109,0.134,57.7,Moyenne
6714C,RÉSEAU MARS,HAGUENAU,0,0.004,100,2024
6715C,NIEDERBRONN,NIEDERBRONN-LES-BAINS,0.031,0.057,84.8,2024
6716C,RÉSEAU DE CHALEUR D'ALLENWILLER,ALLENWILLER,0,0.029,100,2024
6717C,RÉSEAU DE CHALEUR DU REBBERG,LA PETITE-PIERRE,0,0.021,100,2024
6721C,RÉSEAU DE VILLÉ-BASSEMBERG,VILLE,0.022,0.044,90.5,2024
6722C,COLMAR VOSGES,STRASBOURG,0.109,0.145,73.1,2024
6723C,ECOGI,RITTERSHOFFEN,0,0.015,100,2024
6724C,SÉLESTAT,SELESTAT,0.048,0.07,80.8,Moyenne
6725C,RÉSEAU DE CHALEUR ECO2WACKEN,STRASBOURG,0.04,0.057,84.1,Moyenne
6726C,RÉSEAU DE CHALEUR QUARTIER DU LAC,LINGOLSHEIM,0.247,0.278,0,2024
6727C,RÉSEAU DE CHALEUR QUARTIER DES HIRONDELLES,ESCHAU,0.234,0.245,0,2024
6728C,RÉSEAU DE CHALEUR QUARTIER SOLAIRE SCHILTIGHEIM,SCHILTIGHEIM,0.141,0.133,39.6,Moyenne
6730C,ILOT ZD5 DE LA ZAC ETOILE,STRASBOURG,0.1,0.085,51.3,Moyenne
6731C,QUARTIER DES ECRIVAINS,SCHILTIGHEIM,0.156,0.167,24.9,Moyenne
6732C,RÉSEAU DE CHALEUR COGÉNÉRATION SARRE-UNION,SARRE UNION,0.184,0.225,0,2024
6733C,RÉSEAU DE CHALEUR SPL - QPR - RCUA,STRASBOURG,0.01,0.018,95.5,2024
6735C,ALSACEHABITAT-STRASBOURG-MEINAU,STRASBOURG,0,0.018,100,2024
6736C,SCHWEIGHOUSE - CENPA,SCHWEIGHOUSE - SUR - MODER,0,0.004,100,2024
6737C,SCHWEIGHOUSE - SCHAEFFLER,SCHWEIGHOUSE-SUR-MODER,0,0.004,100,Moyenne
6738C,RÉSEAU DE CHALEUR DU PORT AUTONOME DE STRASBOURG,STRASBOURG,0.006,0.009,96.9,2024
6739C,RÉSEAU DE CHALEUR LES PRAIRIES DU CANAL,ILLKIRCH,0.231,0.259,0,2024
6741C,RÉSEAU DE CHALEUR ZAC DES VERGERS,REISCHTETT,0.198,0.23,36,2024
6742C,BISCHWILLER,BISCHWILLER,0.011,0.034,96,2024
6801C,RÉSEAU DE COLMAR,COLMAR,0.035,0.045,87.4,2024
6802C,L'ILLBERG,BRUNSTATT-DIDENHEIM,0.084,0.112,57.8,2024
6803C,PORTE DE BÂLE,MULHOUSE,0.207,0.234,0,2024
6804C,RÉSEAU DE LA VILLE DE SAINT LOUIS,SAINT-LOUIS,0,0.057,90.1,Moyenne
6806C,RÉSEAU DE CERNAY,CERNAY,0.064,0.091,81.3,2024
6809C,RÉSEAU D'HEIMERSDORF,HEIMERSDORF,0,0.025,100,2024
6810C,RÉSEAU DE CHALEUR BIOMASSE DE L'AÉRODROME,RIXHEIM,0.047,0.073,83.8,Moyenne
6812C,RÉSEAU DE BERNWILLER,BERNWILLER,0,0.004,100,2024
6813C,RÉSEAU DE CHALEUR DE FELDBACH,FELDBACH,0.213,0.259,32.8,Moyenne
6814C,RÉSEAU DE CHALEUR DE KAYSERSBERG,KAYSERSBERG VIGNOBLE,0.074,0.101,75.1,2024
6815C,RÉSEAU D'AMMERZWILLER,AMMERZWILLER,0,0.004,100,2024
6816C,RÉSEAU DE CHALEUR DE THANN,THANN,0.02,0.04,92,2024
6817C,RÉSEAU COMMUNAL DE FRIESEN,FRIESEN,0,0.022,100,2024
6818C,RÉSEAU DE LAPOUTROIE,LAPOUTROIE,0,0.023,100,2024
6819C,RÉSEAU VAL D'ARGENT,SAINTE-MARIE-AUX-MINES,0.114,0.148,70.6,2024
6820C,RÉSEAU CHAUFFERIES BOIS FRELAND,FRELAND,0,0.022,100,2024
6821C,PAPETERIES DU RHIN,ILLZACH,0,0.004,100,2024
6822C,RÉSEAU DE CHALEUR DE LA HARDT,RIXHEIM,0.03,0.038,89.1,2024
6901C,VÉNISSIEUX ÉNERGIES,VENISSIEUX,0.118,0.138,52.6,Moyenne
6904C,QUARTIER LA DUCHÈRE ET LYON 9E,CHAMPAGNE-AU-MONT-D'OR,0.073,0.097,71.2,2024
6905C,RÉSEAU DE LYON,LYON,0.094,0.112,62.6,2024
6905F,RÉSEAU DE LYON,LYON,0.008,0.016,,2024
6906C,RÉSEAU DE VAULX EN VELIN,VAULX-EN-VELIN,0.072,0.095,70.7,2024
6912C,RÉSEAU DE GIVORS,GIVORS,0.061,0.082,75.1,Moyenne
6913C,RÉSEAU SYTRAIVAL,VILLEFRANCHE SUR SAONE,0.018,0.026,93.6,Moyenne
6914C,PLATEAU DE MONTMEIN,OULLINS,0.311,0.324,0,2024
6915C,ZH CHAMPVERT,LYON,0.207,0.233,0,2024
6921C,QUARTIER DE LA ROUE,RILLIEUX-LA-PAPE,0.342,0.385,0,2024
6923C,RÉSEAU DE CHALEUR DE LA TOUR-DE-SALVAGNY,LA TOUR-DE-SALVAGNY,0.071,0.098,75.7,2024
6924C,LES COMBES,YZERON,0.002,0.021,99.3,2024
6925C,LE BOURG,YZERON,0.06,0.088,80.2,2024
6928C,RÉSEAU CHAUFFAGE CENTRE HOSPITALIER VILLEFRANCHE,GLEIZE,0.053,0.076,80.2,2024
6929C,RÉSEAU DU BREUIL,CHEVIGNY SAINT SAUVEUR,0.237,0.266,0,2024
6930C,PLATEAU NORD,METROPOLE DE LYON,0.027,0.037,89.8,Moyenne
6932C,RÉSEAU CHALEUR BOIS DE THIZY-LES-BOURGS,THIZY-LES-BOURGS,0.013,0.036,95.3,2024
6933C,RÉSEAU DE CHALEUR BOIS COURS-LA-VILLE,COURS LA VILLE,0.04,0.062,84.1,Moyenne
6934C,LONGES,LONGES,0.01,0.033,97.4,Moyenne
6935C,LARAJASSE,LARAJASSE,0,0.023,100,2024
6936C,MONSOLS,MONSOLS,0.045,0.076,88,Moyenne
6937C,RONNO,RONNO,0.039,0.068,87.1,Moyenne
6938C,SAINT MARTIN EN HAUT,SAINT MARTIN EN HAUT,0.051,0.075,81.4,2024
6939C,LONGESSAIGNE,LONGESSAIGNE,0.026,0.062,95.6,2024
6940C,CHÉNAS,CHÉNAS,0,0.023,100,2024
6941C,RONTALON,RONTALON,0,0.021,100,2024
6942C,COLOMBIER SAUGNIEU,COLOMBIER SAUGNIEU,0.057,0.086,82,2024
6943C,RÉSEAU DE MONTROTTIER,MONTROTTIER,0.038,0.075,92.2,2024
7001C,ZUP DES CAPUCINS,GRAY,0.109,0.137,59.8,Moyenne
7002C,RÉSEAU DE SAULNOT,SAULNOT,0.087,0.124,78.5,Moyenne
7003C,RÉSEAU DE BREUREY LES FAVERNEY,BREUREY-LES-FAVERNEY,0,0.027,100,2024
7004C,RÉSEAU DE DAMPIERRE SUR LINOTTE,DAMPIERRE-SUR-LINOTTE,0.188,0.237,53.7,Moyenne
7006C,RÉSEAU DE LA CHAUFFERIE DE CHAMPEY,CHAMPEY,0,0.02,100,2024
7007C,CHAUFFERIE DE SCEY/SAONE,SCEY-SUR-SAONE-ET-SAINT-ALBIN,0.274,0.341,37.1,Moyenne
7008C,CHAUFFERIE DE MARNAY,MARNAY,0.103,0.145,76.8,Moyenne
7009C,CHAUFFERIE DE GY,GY,0.013,0.036,98.3,Moyenne
7011C,RÉSEAU D'HERICOURT - QUARTIER MAUNOURY,HERICOURT,0.048,0.078,86,Moyenne
7101C,RÉSEAU DE CHALON,CHALON-SUR-SAONE,0.069,0.094,70.4,2024
7102C,RÉSEAU DE MONTCEAU LES MINES,MONTCEAU-LES-MINES,0.082,0.117,61.6,2024
7104C,RÉSEAU D'AUTUN,AUTUN,0.112,0.152,49.7,2024
7105C,RÉSEAU DE CHALEUR DE TRAMAYES,TRAMAYES,0.025,0.052,93.8,Moyenne
7107C,MACON ENERGIES SERVICES,MÂCON,0.079,0.119,61.9,Moyenne
7108C,RÉSEAU DE MATOUR,MATOUR,0.068,0.105,85.4,2024
7109C,RESEAU DE CHALEUR DES BATIMENTS COMMUNAUX,SAINT GENGOUX DE SCISSE,0,0.024,100,2024
7202C,PERCÉE CENTRALE,LE MANS,0.261,0.297,4.1,Moyenne
7203C,SYNER'GIE (ALLONNES- BDH),ALLONNES,0.034,0.041,87.7,Moyenne
7204C,BELLEVUE,COULAINES,0.26,0.288,0,2024
7205C,RÉSEAU DE LA COMMUNE DE TUFFE,TUFFE,0.047,0.07,83.3,Moyenne
7206C,RCU DU GRAND LUCE,GRAND-LUCÉ,0.017,0.042,94.1,2024
7301C,BISSY ET CROIX ROUGE,CHAMBERY,0.088,0.107,69.3,2024
7304C,LA PLAGNE,MACOT-LA-PLAGNE,0.058,0.087,82.7,2024
7305C,LES ARCS,BOURG-SAINT-MAURICE,0.026,0.051,92.9,2024
7306C,RÉSEAU DE NOTRE DAME DES MILLIÈRES,NOTRE-DAME-DES-MILLIERES,0.23,0.267,32.8,Moyenne
7307C,RÉSEAU DE SAINT ETIENNE DE CUINES,SAINT-ETIENNE-DE-CUINES,0.058,0.087,79.6,2024
7308C,RÉSEAU DE BEAUFORT,BEAUFORT,0.027,0.053,92.6,Moyenne
7310C,ECOLE,CHANAZ,0,0.042,100,2024
7311C,GILLY-SUR-ISÈRE,GILLY-SUR-ISERE,0.103,0.134,68.5,Moyenne
7312C,YENNE,YENNE,0.168,0.206,66.7,Moyenne
7313C,ILOTS,CHANAZ,0.114,0.143,66.7,Moyenne
7314C,LA BAUCHE,LA BAUCHE,0,0.041,100,2024
7315C,AIX ENERGIES NOUVELLES,AIX-LES-BAINS,0.053,0.077,82.5,2024
7316C,RÉSEAU DE ST JEAN D'ARVEY,SAINT-JEAN-D'ARVEY,0.151,0.192,59.3,Moyenne
7318C,RÉSEAU D'UGINE,UGINE,0.069,0.093,76.1,Moyenne
7319C,RÉSEAU D'ALBERTVILLE,ALBERTVILLE,0.012,0.036,95.6,Moyenne
7320C,RÉSEAU DE CHALEUR DE BARBY,BARBY,0.014,0.035,94.3,2024
7321C,CROUZE,TIGNES,0.027,0.052,92.3,2024
7402C,QUARTIER DE CHAMP FLEURY,SEYNOD,0.025,0.031,90.4,2024
7403C,BOIS ENERGIES ANNEMASSE,ANNEMASSE,0.035,0.058,86.3,Moyenne
7407C,QUARTIER DE LA RÉNOVATION,THONON-LES-BAINS,0.231,0.26,0,2024
7408C,QUARTIER LES EWUES,CLUSES,0.035,0.043,88,2024
7409C,ECHM FLAINE,ARACHES-LA-FRASSE,0.238,0.275,0,2024
7410C,QUARTIER LA CUDRAY,FAVERGES,0.023,0.049,91.4,Moyenne
7411C,QUARTIER DU CROZETS,SCIONZIER,0.041,0.054,87.5,2024
7412C,RÉSEAU D'AVORIAZ,MORZINE,0.097,0.068,59.7,Moyenne
7413C,RÉSEAU DE CLARAFOND LA PRESLE,CLARAFOND-ARCINE,0.295,0.364,30.3,Moyenne
7416C,RÉSEAU DE VIRY,VIRY,0.009,0.035,98.1,Moyenne
7417C,RÉSEAU DE CHALEUR DE VALLORCINE,VALLORCINE,0.025,0.049,92.1,2024
7418C,Réseau UVE du STOC,THONON-LES-BAINS,0,0.004,100,2024
7419C,RÉSEAU SERRES MUNICIPALES DU STOC,THONON-LES-BAINS,0,0.004,100,Moyenne
7421C,ANNECY BIO CHALEUR,ANNECY,0.05,0.073,77.8,Moyenne
7422C,THORENS GLIÈRES,THORENS-GLIERES,0.067,0.106,80.7,2024
7423C,RÉSEAU DE REIGNIER,REIGNIER,0.048,0.072,82.2,Moyenne
7424C,CRAN GEVRIER - LES PASSERELLES,CRAN-GEVRIER,0.117,0.146,55.5,Moyenne
7426C,RÉSEAU BOIS ÉNERGIE ET CITOYEN DE LUCINGES,LUCINGES,0.007,0.031,98,2024
7427C,RÉSEAU DE CHALEUR DU CENTRE BOURG DE CUSY,COMMUNE DE CUSY,0.241,0.281,30.8,Moyenne
7428C,RÉSEAU SAINT-JEOIRE EN FAUCIGNY,SAINT-JEOIRE EN FAUCIGNY,0.059,0.089,83.3,Moyenne
7429C,RÉSEAU DE CHALEUR D'AMBILLY VILLE-LA-GRAND,AMBILLY,0.06,0.084,74.8,2024
7433C,LES HAUTS D'EVIAN,EVIAN,0.06,0.086,76.8,2024
7434C,RÉSEAU DE CHALEUR BOIS ET CITOYEN DE HABERE POCHE,HABERE POCHE,0,0.024,100,2024
7475C,RÉSEAU D'ANNEMASSE LE LIVRON,ANNEMASSE,0.2,0.233,0,2024
7476C,RÉSEAU D'ANNEMASSE PERRIER,ANNEMASSE,0.186,0.233,0,2024
7477C,ANNECY - ZAC DES TRÉSUMS,ANNECY,0.072,0.039,72.5,2024
7477F,ANNECY - ZAC DES TRÉSUMS,ANNECY,0.053,0.088,,2024
7501C,PARIS ET COMMUNES LIMITROPHES,PARIS,0.149,0.171,50.3,2024
7503F,FRAÎCHEUR DE PARIS,PARIS,0.007,0.015,,2024
7504C,RUE LEGENDRE,PARIS,0.15,0.176,50.3,2024
7601C,RÉSEAU PETITE BOUVERIE,ROUEN,0.087,0.117,60,2024
7602C,ZAC DU MONT GAILLARD,LE HAVRE,0.133,0.172,40.9,2024
7603C,RESOCÉANE,LE HAVRE,0.212,0.234,14,2024
7605C,RÉSEAU DE MONT-SAINT-AIGNAN,MONT-SAINT-AIGNAN,0.066,0.088,74.8,Moyenne
7606C,CANTELEU ENERGIE,CANTELEU,0.034,0.057,86.8,2024
7607C,ZAC NOBEL BOZEL,LE PETIT-QUEVILLY,0.065,0.086,70.3,2024
7608C,CHÂTEAU BLANC,SAINT ETIENNE DU ROUVRAY,0.011,0.034,95.6,Moyenne
7609C,SODINEUF,DIEPPE,0.223,0.25,0,2024
7610C,SECGO,GONFREVILLE-L'ORCHER,0.019,0.043,94.2,Moyenne
7612C,RESEAU ROUEN MARTAINVILLE,ROUEN,0.094,0.13,60,2024
7613C,LA CÔTE BRULÉE,LE HAVRE,0.236,0.265,13.5,2024
7614C,CHAUFFERIE BOIS GRAMMONT,ROUEN,0.015,0.036,93.7,Moyenne
7615C,RÉSEAU DE MAROMME,MAROMME,0.027,0.05,90.5,Moyenne
7616C,SRGB,NOTRE-DAME-DE-GRAVENCHON,0.034,0.062,89.8,Moyenne
7617C,RCU DE NEUFCHATEL-EN-BRAY,NEUFCHATEL-EN-BRAY,0.087,0.115,71.1,Moyenne
7618C,RÉSEAU DE SEMEDI-SEDIBEX,SANDOUVILLE,0,0.004,100,2024
7619C,ZAC LUCILINE CHAUD,ROUEN,0.111,0.102,51.6,Moyenne
7619F,ZAC LUCILINE FROID,ROUEN,0.223,0.36,,Moyenne
7620C,VESUVE,LE GRAND-QUEVILLY,0,0.004,100,2024
7621C,RÉSEAU VAPEUR SEVEDE,SAINT-JEAN-DE-FOLLEVILLE,0,0.004,100,2024
7623C,DISTRIBUTION DE CHALEUR DE LA DES GRANDES VENTES,LES GRANDES VENTES,0.116,0.154,67.7,2024
7701C,RÉSEAUX DE MEAUX,MEAUX,0.081,0.098,68.5,2024
7703C,ALMONT - MONTAIGU,MELUN,0.05,0.064,78.1,Moyenne
7704C,RÉSEAU CDC HABITAT ANCIENNEMENT OSICA,OZOIR-LA-FERRIERE,0.134,0.156,29.7,2024
7705C,ZUP DU MONT SAINT MARTIN,NEMOURS,0.103,0.13,62.1,Moyenne
7706C,RÉSEAU DE DAMMARIE LES LYS,DAMMARIE-LES-LYS,0.011,0.027,93.9,2024
7707C,CENTRALE DE LA BUTTE MONCEAU,AVON,0.228,0.256,0,2024
7708C,RÉSEAU DU MEE SUR SEINE,LE MEE-SUR-SEINE,0.077,0.097,70.1,Moyenne
7710C,RÉSEAU DE VAUX LE PENIL,VAUX-LE-PENIL,0.083,0.11,75.8,Moyenne
7711C,RÉSEAU DE COULOMMIERS,COULOMMIERS,0.015,0.031,94,Moyenne
7715C,RÉSEAU DE MONTEREAU - ZUP DE SURVILLE,MONTEREAU-FAULT-YONNE,0.01,0.022,96.2,2024
7716C,RÉSEAU DE MARNE LA VALLÉE,TORCY,0.039,0.056,85.4,Moyenne
7717C,RÉSEAU DE CHELLES,CHELLES,0.102,0.129,55.3,Moyenne
7718C,LA RENARDIÈRE,ROISSY-EN-BRIE,0.081,0.105,69.5,2024
7721C,RÉSEAU DE BAILLY ROMAINVILLIERS,BAILLY-ROMAINVILLIERS,0.078,0.091,78.4,Moyenne
7722C,RÉSEAU DE VILLAGE NATURE,VILLENEUVE-SAINT-DENIS,0,0.016,99.9,2024
7723C,RÉSEAU DE VAL D'EUROPE,CHESSY,0.168,0.194,33.7,2024
7724C,BUSSYCOMORE,BUSSY-SAINT-GEORGES,0.07,0.091,74,2024
7726C,RCU LIZY-SUR-OURCQ,LIZY-SUR-OURCQ,0.05,0.072,76.3,2024
7727C,CHAMPS SUR MARNE,CHAMPS SUR MARNE,0.035,0.046,85,Moyenne
7729C,COUPVRAY - ZAC TROIS ORMES,COUPVRAY,0,0.019,100,2024
7801C,LES NOUVEAUX HORIZONS,ELANCOURT,0.195,0.22,0,2024
7802C,LE VAL FOURRÉ,MANTES-LA-JOLIE,0.104,0.137,53.1,Moyenne
7803C,RÉSEAU DE VERSAILLES,VERSAILLES,0.255,0.31,0,2024
7804C,PARLY II,LE CHESNAY,0.235,0.259,0,2024
7805C,RÉSEAU DE SAINT GERMAIN EN LAYE,SAINT-GERMAIN-EN-LAYE,0.092,0.122,60.2,Moyenne
7806C,DOMNIS ACHERES CHAMPS VILLARS,ACHERES,0.092,0.113,52,2024
7807C,ZAC DE LA NOE,CHANTELOUP-LES-VIGNES,0.427,0.419,0,2024
7808C,RÉSEAU DES MUREAUX,LES MUREAUX,0.096,0.124,64.6,2024
7809C,RÉSEAU DE VÉLIZY,VELIZY-VILLACOUBLAY,0.101,0.11,52.4,2024
7811C,RÉSEAU DE CARRIÈRES - CHATOU,CARRIERES-SUR-SEINE,0.013,0.019,94.6,Moyenne
7812C,RÉSEAU DE PLAISIR - RESOP,PLAISIR,0.037,0.046,85.5,2024
7813C,RÉSEAU DE LA BOISSIÈRE,LA BOISSIERE-ECOLE,0,0.022,100,2024
7816C,CARRIÈRE SOUS POISSY,CARRIERES-SOUS-POISSY,0.187,0.214,19.7,Moyenne
7820C,VELIGEO,VELIZY VILLACOUBLAY,0.029,0.017,84.3,2024
7821C,DOMNIS ACHÈRES PLANTES D'HENNEMONT,ACHÈRES,0.117,0.142,52.6,2024
7901C,LE CLOU BOUCHET,NIORT,0.277,0.309,0,2024
7903C,RÉSEAU DE ROMANS,ROMANS,0.114,0.142,66.7,Moyenne
7904C,RÉSEAU DE L'ABSIE,L'ABSIE,0,0.018,100,2024
7905C,QUARTIER LES BRIZEAUX,NIORT,0.053,0.081,83.8,2024
7906C,RÉSEAU DE CHALEUR CC MELLOIS EN POITOU,LEZAY,0.048,0.093,93.1,Moyenne
7907C,LA NORMANDE,THOUARS,0,0.017,100,2024
8001C,ETOUVIE,AMIENS,0.051,0.073,74.6,2024
8001F,RÉSEAU DE LA VILLE D'AMIENS - FROID,AMIENS,0.052,0.098,,Moyenne
8002C,RÉSEAU DE LA VILLE D'AMIENS,AMIENS,0.101,0.124,53.4,Moyenne
8004C,RODOLPHE BRAL,MONTDIDIER,0.114,0.144,66.7,Moyenne
8005C,ABBEVILLE ENERGIE,ABBEVILLE,0.1,0.128,61.6,2024
8006C,RÉSEAU DE CHALEUR DE CORBIE,CORBIE,0.014,0.037,94.2,Moyenne
8007C,EPSM,AMIENS,0.058,0.088,80,2024
8013C,RÉSEAU DE CHALEUR DE ROYE,ROYE,0.094,0.121,65.3,Moyenne
8101C,RESEAU DE CARMAUX,CARMAUX,0.184,0.252,0,2024
8102C,CHAUFFAGE URBAIN DE MAZAMET,MAZAMET,0.045,0.069,84.5,2024
